objectid,network,type,status,strategic_cycling_corridor,local_name,local_type,rd_num,name,side,facility_left,surface_left,width_left,facility_right,surface_right,width_right,lighting,verified_date,bearing,scc_name,comments
2004,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2005,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2006,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2007,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2008,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2009,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2010,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2011,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2012,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2013,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2014,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2015,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2016,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2017,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2018,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2019,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2020,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2021,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
2022,PBN,On Road,Proposed,No,TUCKER,ROAD,9999, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,, 
